Title,Company,Location,Board,Search Term,Commute,URL,Posted
"NPI Test Engineer","","","Reed","Test Lead","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/npi-test-engineer/56877145?source=searchResults&filter=%2Fjobs%2Ftest-lead-jobs-in-united-kingdom",""
"Test Automation Manager","","","Reed","Test Lead","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/test-automation-manager/56769563?source=searchResults&filter=%2Fjobs%2Ftest-lead-jobs-in-united-kingdom",""
"Internal Controls Tester","","","Reed","Test Lead","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/internal-controls-tester/56844404?source=searchResults&filter=%2Fjobs%2Ftest-lead-jobs-in-united-kingdom",""
"Head of Penetration Testing (Hands-on)","","","Reed","Test Lead","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/head-of-penetration-testing-hands-on/56761883?source=searchResults&filter=%2Fjobs%2Ftest-lead-jobs-in-united-kingdom",""
"Senior Design Engineer","","","Reed","Test Lead","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/senior-design-engineer/56790406?source=searchResults&filter=%2Fjobs%2Ftest-lead-jobs-in-united-kingdom",""
"Software QA Lead","","","Reed","Test Lead","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/software-qa-lead/56848224?source=searchResults&filter=%2Fjobs%2Ftest-lead-jobs-in-united-kingdom",""
"Test Manager","","","Reed","Test Lead","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/test-manager/56831000?source=searchResults&filter=%2Fjobs%2Ftest-lead-jobs-in-united-kingdom",""
"QA Engineer","","","Reed","QA Engineer","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/qa-engineer/56736133?source=searchResults&filter=%2Fjobs%2Fqa-engineer-jobs-in-united-kingdom",""
"QA Engineer","","","Reed","QA Engineer","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/qa-engineer/56789104?source=searchResults&filter=%2Fjobs%2Fqa-engineer-jobs-in-united-kingdom",""
"QA Engineer","","","Reed","QA Engineer","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/qa-engineer/56793724?source=searchResults&filter=%2Fjobs%2Fqa-engineer-jobs-in-united-kingdom",""
